province,male,female,age
Prov. Kalimantan Tengah,105114,102726,20-24
Prov. Kalimantan Tengah,117120,110846,25-29
Prov. Kalimantan Tengah,108541,96828,30-34
Prov. Kalimantan Tengah,96903,83895,35-39
Prov. Kalimantan Tengah,79096,67562,40-44
Prov. Kalimantan Tengah,61793,52423,45-49
Prov. Kalimantan Tengah,47129,39327,50-54
Prov. Kalimantan Tengah,31326,25034,55-59
Prov. Kalimantan Tengah,20738,19127,60-64
Prov. Kalimantan Tengah,31951,32241,65+
Prov. Kalimantan Timur,201748,189560,0-4
Prov. Kalimantan Timur,192023,179306,5-9
Prov. Kalimantan Timur,167454,156775,10-14
Prov. Kalimantan Timur,152341,142011,15-19
Prov. Kalimantan Timur,169305,157851,20-24
Prov. Kalimantan Timur,196708,179585,25-29
Prov. Kalimantan Timur,182506,161023,30-34
Prov. Kalimantan Timur,158889,138756,35-39
Prov. Kalimantan Timur,134842,115565,40-44
Prov. Kalimantan Timur,104788,88890,45-49
Prov. Kalimantan Timur,79902,64025,50-54
Prov. Kalimantan Timur,56245,40240,55-59
Prov. Kalimantan Timur,32368,26804,60-64
Prov. Kalimantan Timur,42571,41062,65+
Prov. Kepulauan Bangka Belitung,65709,62139,0-4
Prov. Kepulauan Bangka Belitung,63173,60215,5-9
Prov. Kepulauan Bangka Belitung,56007,53296,10-14
Prov. Kepulauan Bangka Belitung,52696,49289,15-19
Prov. Kepulauan Bangka Belitung,62016,57422,20-24
Prov. Kepulauan Bangka Belitung,67976,60962,25-29
Prov. Kepulauan Bangka Belitung,59404,51591,30-34
Prov. Kepulauan Bangka Belitung,48975,43223,35-39
Prov. Kepulauan Bangka Belitung,40129,36029,40-44
Prov. Kepulauan Bangka Belitung,34041,31234,45-49
Prov. Kepulauan Bangka Belitung,29202,26469,50-54
Prov. Kepulauan Bangka Belitung,21534,19297,55-59
Prov. Kepulauan Bangka Belitung,13810,12817,60-64
Prov. Kepulauan Bangka Belitung,20422,24219,65+
Prov. Kepulauan Riau,103863,97176,0-4
Prov. Kepulauan Riau,86589,81736,5-9
Prov. Kepulauan Riau,63587,59717,10-14
Prov. Kepulauan Riau,56960,58607,15-19
